"Key","bn","en","es","hi","id","ptg","tl","ur","vi","zh"
"loginIndex_fhdl","লগইন এ ফিরে যান","Return to login","Regresar a iniciar sesión","लॉगिन पर लौटें","Kembali ke login","Retornar para login","Bumalik sa Log-in","لاگ ان پر واپس جائیں۔","Quay lại phần đăng nhập","返回登录"
"loginIndex_metbcpz","মাল্টা জুয়ার লাইসেন্স","Malta gambling license","Licencia de juego de Malta","माल्टा जुआ लाइसेंस","Lisensi perjudian Malta","Malta licença de jogo","Malta Gambling License","مالٹا جوا لائسنس","Giấy phép đánh bạc tại Malta","马尔他博彩牌照"
"loginIndex_mag","(এমজিএ) সার্টিফিকেশন","(MGA) certification","Certificación de la MGA","(एमजीए) प्रमाणीकरण","sertifikasi (MGA)","(MGA) certificação","(MGA) Certification","(ایم جی اے) سرٹیفیکیشن","Chứng chỉ (MGA)","(MGA)认证"
"loginIndex_wejqd","ব্রিটিশ কুমারী দ্বীপপুঞ্জ","British virgin islands","Islas Vírgenes Británicas","ब्रिटिश वर्जिन आइसलैण्ड्स","Kepulauan Virgin Inggris","Ilhas Virgens Britânicas","British Virgin Islands","برٹش ورجن آئی لینڈز","Quần đảo Virgin thuộc Anh","英属维尔京群岛"
"loginIndex_bvi","(BVI) সার্টিফিকেশন","(BVI) certification","Certificación (BVI)","(बीवीआई) प्रमाणीकरण","sertifikasi (BVI)","(BVI) certificação","(BVI) Certification","(BVI) سرٹیفیکیشن","Chứng chỉ (BVI)","(BVI)认证"
"loginIndex_flb","ফিলিপাইন (PAGCOR)","Philippines (PAGCOR)","Filipinas (PAGCOR)","फिलीपींस (PAGCOR)","Filipina (PAGCOR)","Filipinas (PAGCOR)","Philippines (PAGCOR)","فلپائن (PAGCOR)","Philippines (PAGCOR)","菲律宾(PAGCOR)"
"loginIndex_jdbcpz","জুয়া লাইসেন্সের উপর তত্ত্বাবধান","Supervision on gambling licence","Supervisión de la licencia de juego","जुआ लाइसेंस पर पर्यवेक्षण","Supervisi atas lisensi perjudian","Supervisão da licença de jogo","Regulado at Lisensyado na Laro","جوئے کے لائسنس پر نگرانی","Giám sát giấy phép đánh bạc","监督博彩牌照"
"loginIndex_yggc","ইউকে জিসি","UK GC","UK GC","यूके जीसी","UK GC","REINO UNIDO GC","UK GC","یوکے جی سی","UK GC","英国GC"
"loginIndex_jdwyh","তদারকি কমিটি","Supervisory committee","Comité de supervisión","पर्यवेक्षी समिति","Komite Pengawas","Comité de Fiscalização","Komite sa Pangangasiwa ng Lisensya","نگران کمیٹی","Ủy ban Giám sát","监督委员会"
"loginIndex_sfyz","প্রমাণীকরণ","Authentication","Autenticación","प्रमाणीकरण","Autentikasi","Autenticação","Authentication","Authentication","Xác thực","身份验证"
"loginIndex_sfyz_content","প্রিয় গ্রাহক: হ্যালো! আপনার অ্যাকাউন্টের নিরাপত্তা রক্ষা করার জন্য, এই লগইনটি স্বয়ংক্রিয়ভাবে লগ ইন করা থেকে দূষিত প্রোগ্রামগুলিকে প্রতিরোধ করতে নিম্নলিখিত যাচাইকরণের প্রয়োজন৷","Dear Customer: Hello! In order to protect the security of your account, this login requires the following verification to prevent malicious programs from automatically logging in.","Estimado cliente: ¡Hola! Para proteger la seguridad de su cuenta, este inicio de sesión requiere la siguiente verificación para evitar que programas maliciosos inicien sesión automáticamente.","प्रिय ग्राहक: नमस्ते! आपके खाते की सुरक्षा की रक्षा के लिए, इस लॉगिन को दुर्भावनापूर्ण प्रोग्रामों को स्वचालित रूप से लॉग इन करने से रोकने के लिए निम्नलिखित सत्यापन की आवश्यकता होती है।","Yth. Pelanggan: Halo! Agar dapat melindungi keamanan akun Anda, proses login ini memerlukan verifikasi berikut untuk mencegah program jahat dapat login secara otomatis.","Caro cliente: Olá! Para proteger a segurança da sua conta, este login requer a seguinte verificação para evitar que programas maliciosos entrem automaticamente.","Para sa aming minamahal na Kustomer: Upang maprotektahan ang seguridad ng iyong account, ang pag-login na ito ay nangangailangan ng sumusunod na pag-verify upang maiwasan ang mga nakakahamak na programa mula sa awtomatikong pag-log in.","پیارے کسٹمر: ہیلو! آپ کے اکاؤنٹ کی حفاظت کے لیے، اس لاگ ان کے لیے درج ذیل تصدیق کی ضرورت ہے تاکہ نقصان دہ پروگراموں کو خود بخود لاگ ان ہونے سے روکا جا سکے۔","Kính gửi Quý khách hàng: Xin chào! Nhằm bảo vệ tính bảo mật cho tài khoản của bạn, phần đăng nhập này yêu bước xác thực sau đây để ngăn không cho các chương trình độc hại tự động đăng nhập.","尊敬的客户您好！为了保护您的账号安全，本次登录需要进行以下验证，防止恶意程序自动登录。"
"loginIndex_qsryzm","যাচাইকরণ কোড","verification code","Código de verificación","सत्यापन कोड","kode verifikasi","por favor entre","Verification Code","تصدیقی کوڈ","mã xác thực","请输入验证码"
"loginIndex_qsryhk","আবদ্ধ ব্যাংক কার্ড","Bound bank card","Tarjeta bancaria vinculada","बाउंड बैंक कार्ड","Kartu bank tersimpan","Cartão de crédito","Bank Card Naka-konekta","شامل بینک کارڈ","Thẻ ngân hàng liên kết","请输入绑定的银行卡"
"loginIndex_qsrzfb","আলিপে","The Alipay","Alipay","अलीपे","Alipay","O Alipay","Alipay","علی پے","Alipay","请输入绑定的支付宝"
"loginIndex_yhk","ব্যাঙ্ক কার্ড","Bank Card","Tarjeta bancaria","बैंक कार्ड","Kartu Bank","Cartão de crédito","Bank Card","بینک کارڈ","Thẻ Ngân hàng","银行卡"
"loginIndex_zfb","আলিপে","Alipay","Alipay","अलीपे","Alipay","Alipa","Alipay","علی پے","Alipay","支付宝"
"loginBox_dl","লগইন করুন","Login","Iniciar sesión","लॉग इन करें","Login","Entrar","Log in","لاگ ان","Đăng nhập","登录"
"loginBox_jzmm","পাসওয়ার্ড মনে রাখবেন","Remember the password","Recordar la contraseña","पासवर्ड याद रखें","Ingat kata sandi","Lembre-se da senha","Tandaan ang Password","پاس ورڈ یاد رکھیں","Nhớ mật khẩu","记住密码"
"loginBox_wjmm","পাসওয়ার্ড ভুলে যান","Forget Password","Olvidé la contraseña","पासवर्ड भूल गए","Lupakan Kata Sandi","Esquece a senha","Nakalimutan ang Password","پاس ورڈ بھول جائیں۔","Quên Mật khẩu","忘记密码"
"loginBox_qsy","বাড়ি","Home","Inicio","घर","Beranda","Inici","Home","گھر","Trang chủ","回首页"
"loginBox_yhm","ব্যবহারকারীর নাম","Username","Nombre de usuario","उपयोगकर्ता नाम","Nama Pengguna","Nome de utilizador","Username","Username","Tên người dùng","用户名"
"loginBox_mm","পাসওয়ার্ড","Password","Contraseña","पासवर्ड","Kata Sandi","Senha","Password","پاس ورڈ","Mật khẩu","密码"
"loginBox_yzm","যাচাইকরণ কোড","Verification code","Código de verificación","सत्यापन कोड","Kode verifikasi","Código de verificação","Verification Code","تصدیقی کوڈ","Mã xác thực","验证码"
"loginBox_tc_yhm","ব্যবহারকারীর নাম 6-12 সংখ্যা বা অক্ষর","The user name is 6-12 digits or letters","El nombre de usuario debe tener entre 6 y 12 dígitos o letras","उपयोगकर्ता नाम 6-12 अंकों या अक्षरों का है","Nama pengguna terdiri dari 6-12 digit atau huruf","O nome do usuário é 6-12 dígitos ou letras","Ang username ay dapat 6 hanggang 12 na letra o numero","صارف کا نام 6-12 ہندسوں یا حروف کا ہے۔","Tên người dùng gồm 6-12 chữ số hoặc chữ cái","用户名为6-12位数字或字母"
"loginBox_tc_mm","পাসওয়ার্ডের দৈর্ঘ্য 6-16 বিট","Password length is 6-16 bits","La contraseña debe tener entre 6 y 16 caracteres","पासवर्ड की लंबाई 6-16 बिट है","Panjang kata sandi adalah 6-16 bit","O comprimento da senha é 6-16 bits","Ang password ay dapat 6 hanggang 16 na karakter ang haba","پاس ورڈ کی لمبائی 6-16 بٹس ہے۔","Độ dài mật khẩu là 6-16 bit","密码长度为6-16位"
"loginBox_tc_yzm","যাচাইকরণ কোড ইনপুট ত্রুটি","Verification code input error","Error en la entrada del código de verificación","सत्यापन कोड इनपुट त्रुटि","Kesalahan memasukkan kode verifikasi","Erro de entrada de código de verificação","Mali ang nilagay na verification code","توثیقی کوڈ ان پٹ کی خرابی۔","Lỗi nhập mã xác thực","验证码输入错误"
"registBox_zc","নিবন্ধন করুন","Register","Registrar","पंजीकरण करवाना","Daftar","Registo","I-rehistro","رجسٹر کریں۔","Đăng ký","注册"
"registBox_hq","পান","Get","Obtener","पाना","Dapatkan","Vai","Kunin","حاصل کریں۔","Lấy","获取"
"registBox_wx","WeChat অ্যাকাউন্ট","WeChat account","Cuenta de WeChat","वीचैट अकाउंट","Akun WeChat","Conta WeChat","WeChat Account","WeChat اکاؤنٹ","Tài khoản WeChat","微信账号"
"registBox_yx","ইমেইল ঠিকানা","Email address","Dirección de correo electrónico","मेल पता","Alamat email","Endereço de email","Email Address","Email address","Địa chỉ Email","邮箱地址"
"registBox_yxyzm","ই-মেইল যাচাইকরণ কোড","E-mail verification code","Código de verificación de correo electrónico","ई-मेल सत्यापन कोड","Kode verifikasi email","Código de verificação de e-mail","Verification Code mula sa Email","ای میل تصدیقی کوڈ","Mã xác thực qua E-mail","请输入邮箱验证码"
"registBox_sjh","মোবাইল ফোন নম্বর","Mobile phone number","Número de teléfono móvil","मोबाइल फोन नंबर","Nomor ponsel","Número de telefone móvel","Mobile Number","موبائل فون نمبر","Số điện thoại di động","手机号"
"registBox_sjyzm","টেলিফোন যাচাইকরণ কোড","Tel. verification code","Código de verificación telefónica","दूरभाष. सत्यापन कोड","Kode verifikasi tel.","Tel. código de verificação","Verification Code mula sa iyong Mobile Number","ٹیلی فون تصدیقی کوڈ","Mã xác thực qua điện thoại","手机号验证码"
"registBox_tsyhm","একটি 6-12 সংখ্যার অক্ষর এবং নম্বর অ্যাকাউন্ট লিখুন","Enter a 6-12 digit letter and number account","Ingrese una cuenta de 6-12 dígitos con letras y números","6-12 अंकों का अक्षर और संख्या खाता दर्ज करें","Masukkan 6-12 digit huruf dan angka akun","Digite uma conta de letra e número de 6-12 dígitos","Ilagay ang 6 hanggang 12 na letra o numero na account number","6-12 ہندسوں کا خط اور نمبر کا اکاؤنٹ درج کریں۔","Nhập một tài khoản gồm 6-12 chữ số chữ cái và số","请输入6-12位字母与数字组合的账号"
"registBox_tsmm","6-12 অক্ষর বা সংখ্যা বা চিহ্নের পাসওয়ার্ড","Password of 6-12 letter or number or symbol","Contraseña de 6-12 caracteres: letra, número o símbolo","6-12 अक्षर या संख्या या प्रतीक का पासवर्ड","Kata sandi 6-12 huruf atau angka atau simbol","Senha de 6-12 letra ou número ou símbolo","Ilagay ang 6 hanggang 12 na letra o numero na password","6-12 حرف یا نمبر یا علامت کا پاس ورڈ","Mật khẩu gồm 6-12 chữ cái hoặc số hoặc ký hiệu","请输入6-12位字母数字或字符的密码"
"registBox_tsqq","অনুগ্রহ করে একটি 5-11 সংখ্যার QQ নম্বর লিখুন৷","Please enter a 5-11 digit QQ number","Por favor, ingrese un número de QQ de 5-11 dígitos","कृपया 5-11 अंकों का QQ नंबर दर्ज करें","Masukkan nomor QQ 5-11 digit","Digite um número de QQ de 5-11 dígitos","Ilagay ang 5 hanggang 11 karakter na QQ Number","براہ کرم 5-11 ہندسوں کا QQ نمبر درج کریں۔","Vui lòng nhập một số QQ gồm 5-11 chữ số","请输入5-11位的QQ号码"
"registBox_tswx","সঠিক WeChat নম্বর লিখুন","Please enter the correct WeChat number","Por favor, ingrese el número correcto de WeChat","कृपया सही WeChat नंबर दर्ज करें","Silakan masukkan nomor WeChat yang benar","Digite o número WeChat correto","Ilagay ang tamang WeChat Number","براہ کرم درست WeChat نمبر درج کریں۔","Vui lòng nhập số WeChat đúng","请输入正确的微信号码"
"registBox_tsyx","একটি 4-50 মেইলবক্স লিখুন","Please enter a 4-50 mailbox","Por favor, ingrese un correo electrónico de 4-50 caracteres","कृपया 4-50 मेलबॉक्स दर्ज करें","Silakan masukkan kotak surat 4-50","Por favor, insira uma caixa de correio de 450","Ilagay ang 4 hanggang 50 karakter na Email Address","براہ کرم 4-50 میل باکس درج کریں۔","Vui lòng nhập một hộp thư từ 4-50","请输入4-50的邮箱"
"registBox_tsyxyzm","অনুগ্রহ করে 4-6 সংখ্যার ইমেল যাচাইকরণ কোড লিখুন","Please enter 4-6 digits email verification code","Por favor, ingrese un código de verificación de correo electrónico de 4-6 dígitos","कृपया 4-6 अंकों का ईमेल सत्यापन कोड दर्ज करें","Silakan masukkan kode verifikasi email 4-6 digit","Digite o código de verificação de e-mail de 4-6 dígitos","Ilagay ang 4 hanggang 6 na karakter na Verification Code mula sa E-mail","براہ کرم 4-6 ہندسوں کا ای میل تصدیقی کوڈ درج کریں۔","Vui lòng nhập mã xác thực qua email gồm 4-6 chữ số","请输入4-6位邮箱验证码"
"registBox_tsyzm","একটি যাচাইকরণ কোড লিখুন","Please enter a verification code","Por favor, ingrese un código de verificación","कृपया एक सत्यापन कोड दर्ज करें","Silakan masukkan kode verifikasi","Digite um código de verificação","Ilagay ang Verification Code","براہ کرم ایک توثیقی کوڈ درج کریں۔","Vui lòng nhập một mã xác thực","请输入验证码"
"registBox_tssjh","অনুগ্রহ করে একটি 6-15 সংখ্যার সেল ফোন নম্বর লিখুন৷","Please enter an 6-15 digit cell phone number","Por favor, ingrese un número de teléfono móvil de 6-15 dígitos","कृपया 6-15 अंकों का सेल फ़ोन नंबर दर्ज करें","Silakan masukkan nomor ponsel 6-15 digit","Digite um número de telefone celular de 6-15 dígitos","Ilagay ang 6 hanggang 15 numero ng iyong Mobile Number","براہ کرم 6-15 ہندسوں کا سیل فون نمبر درج کریں۔","Vui lòng nhập một số điện thoại di động gồm 6-15 chữ số","请输入手机号"
"registBox_tssjyzm","আপনার মোবাইল ফোন যাচাইকরণ কোড লিখুন","Please enter your mobile phone verification code","Por favor, ingrese su código de verificación de teléfono móvil","कृपया अपना मोबाइल फ़ोन सत्यापन कोड दर्ज करें","Silakan masukkan kode verifikasi ponsel Anda","Digite seu código de verificação de telefone celular","Ilagay ang Verification Code mula sa iyong Mobile Number","براہ کرم اپنا موبائل فون تصدیقی کوڈ درج کریں۔","Vui lòng nhập mã xác thực qua điện thoại di động của bạn","请输入手机验证码"
"registBox_tcyx","সঠিক ইমেল মেইলবক্স লিখুন","Please enter the correct Email mailbox","Por favor, ingrese el correo electrónico correcto","कृपया सही ईमेल मेलबॉक्स दर्ज करें","Silakan masukkan kotak surat Email yang benar","Digite a caixa de correio de e-mail correta","Ilagay ang tamang Email Address","براہ کرم درست ای میل میل باکس درج کریں۔","Vui lòng nhập hộp thư Email đúng","请输入正确的Email邮箱"
"registBox_tcyxyzm","সঠিক ইমেল যাচাইকরণ কোড লিখুন","Please enter the correct email verification code","Por favor, ingrese el código de verificación de correo electrónico correcto","कृपया सही ईमेल सत्यापन कोड दर्ज करें","Silakan masukkan kode verifikasi email yang benar","Digite o código de verificação de e-mail correto","Ilagay ang Verification Code mula sa iyong Email Address","براہ کرم درست ای میل تصدیقی کوڈ درج کریں۔","Vui lòng nhập mã xác thực đúng qua email","请输入正确的邮箱验证码"
"registBox_tcyzm","যাচাইকরণ কোড ইনপুট ত্রুটি","Verification code input error","Error en la entrada del código de verificación","सत्यापन कोड इनपुट त्रुटि","Kesalahan memasukkan kode verifikasi","Erro de entrada de código de verificação","Mali ang nilagay na Verification Code","توثیقی کوڈ ان پٹ کی خرابی۔","Lỗi nhập mã xác thực","验证码输入错误"
"registBox_tcsjhm","সঠিক মোবাইল ফোন নম্বর লিখুন","Please enter the correct mobile phone number","Por favor, ingrese el número de teléfono móvil correcto","कृपया सही मोबाइल फ़ोन नंबर दर्ज करें","Silakan masukkan nomor ponsel yang benar","Digite o número de telefone celular correto","Ilagay ang tamang Mobile Number","براہ کرم درست موبائل فون نمبر درج کریں۔","Vui lòng nhập số điện thoại di động đúng","请输入正确的手机号码"
"registBox_tcsjyzm","সঠিক যাচাইকরণ কোড লিখুন","Please enter the correct verification code","Por favor, ingrese el código de verificación correcto","कृपया सही सत्यापन कोड दर्ज करें","Silakan masukkan kode verifikasi yang benar","Digite o código de verificação correto","Ilagay ang tamang Verification Code","براہ کرم درست تصدیقی کوڈ درج کریں۔","Vui lòng nhập mã xác thực đúng","请输入正确的验证码"
"activityDetails_hdxq","কার্যকলাপের বিবরণ","Activity details","Detalles de la actividad","गतिविधि विवरण","Detail aktivitas","Detalhes da atividade","Detalye ng iyong Activity","سرگرمی کی تفصیلات","Chi tiết hoạt động","活动详情"
"activityDetails_hdsj","কার্যকলাপ সময়","Activity time","Hora de la actividad","गतिविधि का समय","Waktu aktivitas","Tempo de atividade","Oras ng iyong Activity","سرگرمی کا وقت","Thời gian hoạt động","活动时间"
"activityDetails_z","প্রতি","To","A","को","Ke","Para","Hanggang","کو","Đến","至"
"activityDetails_zt","সক্রিয় অবস্থা","Active status","Estado activo","सक्रिय स्थिति","Status aktif","Situação ativa","Status ng iyong Activity","فعال حیثیت","Trạng thái hoạt động","活动状态"
"activityDetails_hdjxz","কার্যক্রম চলছে","Activity in progress","Actividad en progreso","गतिविधि प्रगति पर है","Aktivitas sedang berlangsung","Actividade em curso","Kasalukuyang Activity","سرگرمی جاری ہے۔","Hoạt động đang diễn ra","活动进行中"
"activityDetails_hdwks","কার্যক্রম শুরু হয়নি","Activity not started","Actividad no iniciada","गतिविधि प्रारंभ नहीं हुई","Aktivitas belum dimulai","Actividade não iniciada","Activity na Hindi Nasimulan","سرگرمی شروع نہیں ہوئی۔","Hoạt động chưa bắt đầu","活动未开始"
"activityDetails_hdyjs","কার্যকলাপ বন্ধ","Activity closed","Actividad cerrada","गतिविधि बंद","Aktivitas ditutup","Actividades encerradas","Activity na Tapos na","سرگرمی بند","Hoạt động đã đóng","活动已结束"
"activityDetails_hdgz","পুরস্কারের নিয়ম","Award rules","Reglas de premios","पुरस्कार नियम","Aturan penghargaan","Regras do prêmio","Mga tuntunin para makuha ang Award","ایوارڈ کے قواعد","Quy tắc trao thưởng","奖励规则"
"activityDetails_hdxz","কার্যক্রমের বিস্তারিত নিয়ম","Detailed rules of activities","Reglas detalladas de las actividades","गतिविधियों के विस्तृत नियम","Aturan kegiatan mendetail","Regras pormenorizadas das actividades","Detalyadong rules ng Activities","سرگرمیوں کے تفصیلی قواعد","Quy tắc chi tiết của các hoạt động","活动细则"
"activityDetails_ljsq","এখনই আবেদন করুন","Apply now","Aplicar ahora","अभी अप्लाई करें","Terapkan sekarang","Aplique agora","Mag-Apply Na","ابھی اپلائی کریں۔","Ghi danh ngay","立即申请"
"activityDetails_hdxgzl","কার্যকলাপের প্রাসঙ্গিক তথ্য পূরণ করুন","Fill in relevant information of the activity","Complete la información relevante de la actividad","गतिविधि की प्रासंगिक जानकारी भरें","Isi informasi yang relevan dari aktivitas","Preencha as informações relevantes da atividade","Punan ng impormasyon tungkol sa Activity","سرگرمی کی متعلقہ معلومات کو پُر کریں۔","Điền thông tin liên quan đến hoạt động","活动相关资料填写"
"activityDetails_qsr","অনুগ্রহ করে প্রবেশ করুন...","Please enter...","Por favor ingrese...","कृपया दर्ज करें...","Silakan masukkan...","Por favor, entre...","I-enter...","براہ کرم درج کریں...","Vui lòng nhập...","请输入..."
"activityDetails_tj","জমা দিন","Submit","Enviar","सबमिट करे","Kirim","Submeter-me","Isumite","جمع کروائیں۔","Gửi","提交"
"activityDetails_lqcg","সফল সংগ্রহ, অনুমোদনের জন্য অপেক্ষা করুন","Successful collection, please wait for approval","Colección exitosa, espere la aprobación","सफल संग्रह, कृपया अनुमोदन की प्रतीक्षा करें","Pengumpulan berhasil, mohon tunggu persetujuan","Coleção bem sucedida, por favor, espere por aprovação","Matagumpay na koleksyon, maghintay para sa pag-apruba","کامیاب مجموعہ، براہ کرم منظوری کا انتظار کریں۔","Thu thập thành công, vui lòng đợi phê duyệt","领取成功，请等待审核"
"activityDetails_zwdl","এখনো লগ ইন করেননি, অনুগ্রহ করে প্রথমে লগইন করুন","Not logged in yet, please login first","Aún no ha iniciado sesión, por favor inicie sesión primero","अभी तक लॉग इन नहीं हुआ है, कृपया पहले लॉग इन करें","Belum login, silakan login dulu","Não logado ainda, por favor Inscreva-se primeiro","Hindi pa naka-login, mag-log in muna","ابھی لاگ ان نہیں ہوا، براہ کرم پہلے لاگ ان کریں۔","Chưa đăng nhập, vui lòng đăng nhập trước","暂未登录，请先登录"
"activityDetails_txwz","তথ্য সম্পূর্ণ করুন","Please complete the information","Por favor complete la información","कृपया जानकारी पूर्ण करें","Silakan lengkapi informasinya","Por favor preencha as informações","Ilagay ang kumpletong impormasyon","براہ کرم معلومات مکمل کریں۔","Vui lòng hoàn tất thông tin","请把资料填写完整"
"activityDetails_sqcg","সফল আবেদন","Successful application","Aplicación exitosa","सफल आवेदन","Penerapan berhasil","Aplicação bem sucedida","Matagumpay na Aplikasyon","کامیاب درخواست","Ghi danh thành công","申请成功"
"ChessListsIndex_yx","গেমস","Games","Juegos","खेल","Permainan","Jogos de Jogos","Mga Laro","گیمز","Trò chơi","游戏"
"ChessListsIndex_zzjz","লোড হচ্ছে","Loading","Cargando","लोड हो रहा है","Memuat","A carregar","Naglo-loading","لوڈ ہو رہا ہے۔","Đang tải","正在加载…"
"ActPage_qbyh","AII অফার","AII offers","Todas las ofertas","सभी ऑफर","Semua penawaran","Todas as ofertas","Mga Offers","AII پیشکش کرتا ہے۔","Ưu đãi AII","全部优惠"
"ActPage_zwyhhd","কোন তথ্য নেই","No data","Sin datos","कोई डेटा नहीं","Tidak ada data","Sem dados","Walang Data","کوئی ڈیٹا نہیں۔","Không có dữ liệu","暂无"
"notice_gb","বন্ধ","Close","Cerrar","बंद करे","Tutup","Fechar","Sarado","بند","Đóng","关闭"
"notice_ckqb","সব দেখুন","View all","Ver todo","सभी को देखें","Lihat semua","Ver tudo","Tingnan Lahat","تمام دیکھیں","Xem tất cả","查看全部"
"notice_zjd","সম্মানজনক","Respectful","Respetable","आदरणीय","Penuh hormat","Respeito","Kagalang-galang","قابل احترام","Đáng kính","尊敬的"
"notice_hy","সদস্য","member","miembro","सदस्य","anggota","membro","na miyembro","رکن","thành viên","会员"
"activityEntry_mrqd","দৈনিক চেক ইন","Daily check-in","Registro diario","दैनिक चेक-इन","Check-in harian","Check-in diário","Daily Sign In","روزانہ چیک ان","Điểm danh hàng ngày","每日签到"
"activityEntry_qdlq","চেক-ইন","Check-in","Registrarse","चेक इन","Check-in","Entrada","Mag-sign in","چیک ان","Điểm danh","签到"
"activityEntry_yqd","সাইন ইন করুন","Sign in","¡Inicio de sesión exitoso!","साइन इन","Login","Sinalização","Mag-sign in","سائن ان کریں۔","Đăng nhập","已签到"
"activityEntry_qdcg","সফলভাবে সাইন ইন করুন!","Sign in successfully!","Determinar","सफलतापूर्वक साइन इन !","Berhasil login!","Assine com sucesso!","Matagumpay na pag sign in!","کامیابی سے سائن ان کریں!","Đăng nhập thành công!","签到成功!"
